file,MCD,XvecCos,ECAPACos,WER,logF0_RMSE,Deg_MCD,Deg_XvecCos,Deg_ECAPACos,Deg_WER,Deg_logF0_RMSE
F001_R1_E2_M2_BI.wav,21.609022011858812,0.9141827821731567,0.48052462935447693,0.0,0.06935118402839577,0.027017630971957588,0.9447324275970459,0.6773676872253418,0.0,0.002984343870029424
F001_R1_E2_M2_BJ.wav,19.371131393924387,0.9206108450889587,0.5233360528945923,1.0,0.2576595350813885,0.09081150970900446,0.9492549300193787,0.6050617694854736,0.0,1.1397851879407123e-05
F001_R1_E2_M2_BK.wav,17.047954373472596,0.9065544605255127,0.3797036111354828,0.0,0.1255749239911563,0.4957111279066877,0.9189376831054688,0.519402265548706,1.0,0.0017070661488374614
F001_R1_E2_M2_BL.wav,19.347237105105034,0.903336226940155,0.4788944125175476,1.0,0.2390930090404166,0.17900158397426874,0.9367454051971436,0.6640963554382324,1.0,0.056844927239134424
F001_R1_E2_M2_BM.wav,16.169539906865644,0.9289467930793762,0.45501312613487244,0.0,0.17491834334638504,0.1582693519800975,0.9486373066902161,0.665364146232605,0.0,0.034225586241991936
F001_R1_E2_M2_BN.wav,20.522169801741498,0.9055206775665283,0.46569186449050903,1.0,0.10841762145028572,0.17046207270322392,0.9321982860565186,0.6033576726913452,1.0,6.262779024602466e-05
F001_R1_E2_M2_BO.wav,17.331063018738266,0.9416290521621704,0.522039532661438,1.0,0.23185887632284566,0.6149426626882591,0.9452837705612183,0.6545954942703247,1.0,0.0014587779628505756
F001_R1_E2_M2_BP.wav,18.123884780072054,0.9056997299194336,0.3228238821029663,1.0,0.08510122176924832,0.01979803272141199,0.9283777475357056,0.5815097093582153,1.0,1.3748000525872141e-05
F001_R1_E2_M2_BQ.wav,21.166182461951507,0.9086153507232666,0.3182968497276306,1.0,0.31155470313284434,0.4181142680437611,0.9264033436775208,0.589631199836731,1.0,6.302549735409914e-05
F001_R1_E2_M2_BR.wav,20.015462547673515,0.9071332812309265,0.45444512367248535,0.0,0.10013265996945578,0.12284539144487559,0.9314103126525879,0.5567501187324524,0.0,4.134015074263366e-05
F001_R1_E2_M2_BS.wav,16.721192747376207,0.89858078956604,0.39132943749427795,1.0,0.1356137713616916,0.2341962025557794,0.9284557104110718,0.58702152967453,0.0,4.7185885629679784e-05
F001_R1_E2_M2_BT.wav,23.167936528447225,0.887597918510437,0.39233511686325073,1.0,0.11995881101054842,0.12495415722895124,0.9324638843536377,0.6149312853813171,0.0,0.0015763110872744472
F001_R1_E2_M2_BU.wav,21.13183463508367,0.9339467883110046,0.4443250596523285,1.0,0.25771198438604365,0.20514180704388707,0.9465855360031128,0.6379600763320923,1.0,0.0014462948622157021
F001_R1_E2_M2_BV.wav,21.48907312785612,0.9230298399925232,0.4411903917789459,0.0,0.1881649248296915,0.6150721921920436,0.9341092109680176,0.5838586091995239,1.0,0.00016780692285805717
F001_R1_E2_M2_BW.wav,19.48362872387109,0.91080242395401,0.39983752369880676,0.0,0.17014960964876802,0.07114422480420722,0.9389722347259521,0.594277560710907,0.0,0.19805087382292277
F001_R1_E2_M2_BX.wav,19.696252359308218,0.9120550751686096,0.5625178813934326,0.0,0.15057640337997277,0.032882858274719755,0.9349056482315063,0.7722373604774475,0.0,0.005181037824273443
F002_R1_E2_M2_AA.wav,15.719678368733605,0.9186864495277405,0.5639323592185974,1.0,0.15233915438228504,0.36705491377359295,0.9452850818634033,0.7459349632263184,0.0,0.0002042006987853174
F002_R1_E2_M2_AB.wav,13.807479488492989,0.9247833490371704,0.40267547965049744,1.0,0.17635269522343974,0.4735592373787691,0.9452625513076782,0.7034425735473633,1.0,0.0013250940803583198
F002_R1_E2_M2_AC.wav,16.670851158147943,0.9277184009552002,0.574707567691803,0.0,0.33480676512157326,0.9346742102347274,0.9487724304199219,0.7089507579803467,1.0,0.0002625459301632983
